lake,sed.date,B2mean,B3mean,B4mean,B2max,B3max,B4max,B2min,B3min,B4min
Lake Bonney,2017-01-27,0.5454783083426114,0.5195579139714513,0.5343277932473602,0.629177987575531,0.5966160893440247,0.6105972528457642,0.3088889718055725,0.2768533527851105,0.2780809998512268
Lake Bonney,2017-01-30,0.5373984564441558,0.5173162765183148,0.5289632731197611,0.6266807913780212,0.6009206771850586,0.6124402284622192,0.291399747133255,0.2668078541755676,0.26405295729637146
Lake Bonney,2017-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake Bonney,2017-11-07,0.5157201008450918,0.4563836152596091,0.4430881510591759,0.6654366254806519,0.6210627555847168,0.6713573336601257,0.3311966061592102,0.2763606905937195,0.23872153460979462
Lake Bonney,2017-11-18,0.4851263126682676,0.44425046607374474,0.41289594661177365,0.6218894720077515,0.5769220590591431,0.5983240604400635,0.31507039070129395,0.2723686099052429,0.22455716133117676
Lake Bonney,2017-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake Bonney,2017-11-21,0.47647419238114147,0.43620515907897706,0.40336554862994506,0.6142465472221375,0.6058383584022522,0.6091753244400024,0.28577494621276855,0.21771365404129028,0.17444875836372375
Lake Bonney,2017-11-25,0.46817637554166497,0.43227694138544875,0.394528871716585,0.577934980392456,0.5556294322013855,0.553467869758606,0.3039691150188446,0.26242128014564514,0.22422538697719574
Lake Bonney,2017-11-27,0.4627602185732782,0.4269540206626732,0.39502954724246925,0.5596023201942444,0.5355974435806274,0.5297836661338806,0.3055171072483063,0.26750117540359497,0.23621103167533875
Lake Bonney,2017-11-30,0.4916829887517892,0.45397383463945884,0.4410258401216041,0.5670350790023804,0.5368468165397644,0.5365241169929504,0.3951569199562073,0.3583100438117981,0.3446916937828064
Lake Bonney,2017-12-02,0.49318816765606266,0.45746784073155744,0.43909482435893415,0.5921106934547424,0.5595285296440125,0.5621391534805298,0.32863157987594604,0.2903728187084198,0.2669948637485504
Lake Bonney,2017-12-07,0.5308045930778937,0.49665674794161324,0.48563879256717907,0.6286980509757996,0.5935359597206116,0.6080995798110962,0.28412488102912903,0.20987790822982788,0.17118890583515167
Lake Bonney,2017-12-16,0.5381931435325416,0.5092110396770506,0.5082997457792864,0.6010172963142395,0.564354419708252,0.5705467462539673,0.4498686194419861,0.4266311824321747,0.4234074354171753
Lake Bonney,2017-12-23,0.5768261572827905,0.5416575969250084,0.5447681128171399,0.6283653378486633,0.5867142081260681,0.6007387042045593,0.4720665514469147,0.4437522888183594,0.45241743326187134
Lake Bonney,2018-01-03,0.6022140831690556,0.5765774491835948,0.5900410398875363,0.6477085947990417,0.6239707469940186,0.6460638642311096,0.475330114364624,0.44858518242836,0.45665132999420166
Lake Bonney,2018-01-05,0.5661715030138509,0.5331086571613554,0.5429220665572381,0.6224191188812256,0.5950616598129272,0.6183439493179321,0.43639957904815674,0.4046301543712616,0.40865468978881836
Lake Bonney,2018-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake Bonney,2018-01-10,0.6602838072872886,0.6323332162749307,0.6555996537110103,0.7220169305801392,0.6875152587890625,0.7207894921302795,0.4633299708366394,0.4400799572467804,0.4575674831867218
Lake Bonney,2018-01-12,0.6252093524538254,0.5989110718416939,0.6166651740123779,0.677908182144165,0.6433332562446594,0.6641122102737427,0.4563188850879669,0.4290405511856079,0.43573620915412903
Lake Bonney,2018-01-14,0.6056906625525094,0.5794433138533556,0.5953604433947678,0.6502580642700195,0.6161292195320129,0.6293537616729736,0.4263404905796051,0.391500860452652,0.40708813071250916
Lake Bonney,2018-01-19,0.6118585879274198,0.5891379127122012,0.6063869173648061,0.6611115336418152,0.6325493454933167,0.6472715735435486,0.42588478326797485,0.4038977026939392,0.40582072734832764
Lake Bonney,2018-01-26,0.6041426708448591,0.5822931017503905,0.5955604408828583,0.6594753861427307,0.6316174268722534,0.6439241170883179,0.42098402976989746,0.3971496522426605,0.3940345346927643
Lake Bonney,2018-01-30,0.565841452926545,0.5398044113794648,0.5587516095443729,0.6149863600730896,0.5833531022071838,0.6018434762954712,0.40352433919906616,0.3719964027404785,0.37307319045066833
Lake Bonney,2018-11-05,0.42023476747581184,0.3736278530115494,0.3560901762709036,0.5133677124977112,0.46391016244888306,0.4555039703845978,0.32422563433647156,0.2756895422935486,0.242012619972229
Lake Bonney,2018-11-07,0.4183084800384427,0.39435162483635594,0.38573199454023444,0.47646695375442505,0.4654007852077484,0.45069950819015503,0.3578602075576782,0.3306674361228943,0.3228270411491394
Lake Bonney,2018-11-08,0.4269131607335119,0.3852274837196956,0.3690425977480069,0.4935549795627594,0.44575953483581543,0.4328019320964813,0.31585729122161865,0.27563199400901794,0.2609218657016754
Lake Bonney,2018-11-12,0.4379122135837676,0.40421681444775676,0.3810069706028824,0.5406907200813293,0.49742451310157776,0.4900246262550354,0.2779163122177124,0.23746702075004578,0.21187639236450195
Lake Bonney,2018-11-17,0.43197934108478303,0.3985223391286839,0.3779176597769283,0.5354036092758179,0.4935568571090698,0.48939934372901917,0.280550092458725,0.24142193794250488,0.21638080477714539
Lake Bonney,2018-11-19,0.44745316830727383,0.4194990230307628,0.3932534962213193,0.5562478303909302,0.5155951976776123,0.5076229572296143,0.29574036598205566,0.26396065950393677,0.24044103920459747
Lake Bonney,2018-11-24,0.44539663543156127,0.4194807148940657,0.3983853690333598,0.5414658784866333,0.49942439794540405,0.49097034335136414,0.3094994127750397,0.2835870385169983,0.2559845447540283
Lake Bonney,2018-11-26,0.4541923303020485,0.4269774853001737,0.4028478661582223,0.5885274410247803,0.5565460324287415,0.541104257106781,0.3320792615413666,0.2960372865200043,0.2846992611885071
