sed.date,lake,sed_mean,sed_mean_bb,wateryear,ice_endmember,B2mean,month,albedo.predict.wholelake,albedo.predict.bb
2020-11-15,Lake Fryxell,0.3641162895255463,0.34923915004819855,2021,0.6507608499518014,0.5027577835965984,Nov,0.38116121114926105,0.38697904379854114
2020-11-17,Lake Fryxell,0.35502396408278986,0.3426976922087203,2021,0.6573023077912796,0.512001543608795,Nov,0.3954510085513731,0.4002713026046792
2020-11-19,Lake Fryxell,0.34922883621227624,0.33419846412830784,2021,0.6658015358716922,0.4997935867301463,Nov,0.3835409517782433,0.3894187073490695
2020-11-24,Lake Fryxell,0.3424117451114751,0.3312990454802836,2021,0.6687009545197165,0.5062237740225112,Nov,0.3936737838319725,0.39801950007899894
2020-11-26,Lake Fryxell,0.3406477919154078,0.3296871918036525,2021,0.6703128081963474,0.4910753159951634,Nov,0.37677269265263585,0.3810589290815519
2020-11-28,Lake Fryxell,0.3212808646008433,0.3146923314372118,2021,0.6853076685627881,0.4901607197493389,Nov,0.38328423524591326,0.38586073749680655
2020-11-29,Lake Fryxell,0.3177069151507537,0.32283535123543633,2021,0.6771646487645637,0.49675006491206614,Nov,0.3923336285006139,0.3903281097018796
2020-12-01,Lake Fryxell,0.33210589252229566,0.37267127969211206,2021,0.6273287203078879,0.4893565097347838,Dec,0.37811713970023686,0.36225369805766927
2020-12-03,Lake Fryxell,0.3149458376197134,0.3694103697973086,2021,0.6305896302026914,0.5103758652784256,Dec,0.40923611024248213,0.38793728905356717
2020-12-08,Lake Fryxell,0.2603409679334745,0.37736214613331887,2021,0.6226378538666811,0.49419139106712545,Dec,0.41179585452905904,0.366033721813634
2020-12-10,Lake Fryxell,0.2339182736500845,0.3675783645165594,2021,0.6324216354834407,0.5165433846743462,Dec,0.44808456367929855,0.39581564183899937
2020-12-14,Lake Fryxell,0.23993095283778484,0.3346098346290765,2021,0.6653901653709235,0.5312762811283384,Dec,0.4628415901077718,0.4258166035153288
2020-12-15,Lake Fryxell,0.2936988228443391,0.31746957165406164,2021,0.6825304283459384,0.510173136811358,Dec,0.4173095219833504,0.40801376733013844
2020-12-21,Lake Fryxell,0.22102189835346855,0.2940500861495957,2021,0.7059499138504043,0.5138375994009756,Dec,0.4499857524722894,0.4214274549632168
2020-12-24,Lake Fryxell,0.3090377395296917,0.3211435907821458,2021,0.6788564092178542,0.5015296114191018,Dec,0.40127395432002166,0.39653985763624094
2020-12-26,Lake Fryxell,0.2892884736259654,0.324773372816188,2021,0.675226627183812,0.5112586659595718,Dec,0.42029477981424496,0.40641810645377624
2020-12-30,Lake Fryxell,0.31842081243688675,0.3416146307631775,2021,0.6583853692368224,0.4924977344163716,Dec,0.38711650332879277,0.3780463622760975
2021-01-06,Lake Fryxell,0.3391409965767955,0.3748198171755425,2021,0.6251801828244574,0.4777034562147818,Jan,0.36183408347274665,0.34788157548670184
