date,lake,sed_mean,sed_mean_bb
2019-11-17,East Lake Bonney,0.11106276317444276,0.06441860271823113
2019-11-24,West Lake Bonney,0.14404630497037704,0.05732716222635971
2019-11-24,East Lake Bonney,0.17935449332526557,0.1468704126637291
2019-11-27,West Lake Bonney,0.15757960401223522,0.05375431239068049
2019-11-27,East Lake Bonney,0.19920208107240533,0.20105654928419325
2019-12-03,West Lake Bonney,0.170413374928474,0.06807701447596357
2019-12-03,East Lake Bonney,0.1805283613820523,0.1780348766181204
2019-12-17,West Lake Bonney,0.07813128897702953,0.059524634611487055
2019-12-17,East Lake Bonney,0.03696700029292227,0.011997378148409628
2019-12-24,West Lake Bonney,0.0661812183398102,0.049324349774553355
2019-12-24,East Lake Bonney,0.06201063431805467,0.043628396191060244
2019-12-26,West Lake Bonney,0.07156597610770057,0.052085405261455456
2019-12-26,East Lake Bonney,0.08543220646462088,0.06514176246719554
2019-12-31,West Lake Bonney,0.06451316159775011,0.033119208085587
2019-12-31,East Lake Bonney,0.04830837074170161,0.0395563070711904
2020-01-02,West Lake Bonney,0.06511342877732883,0.03909850541268538
2020-01-02,East Lake Bonney,0.07405091496071056,0.06785200429559929
2020-01-11,West Lake Bonney,0.03597359867669187,0.020976042226490126
2020-01-11,East Lake Bonney,0.07495083827336778,0.06889656361124287
2020-01-20,West Lake Bonney,0.07986203953390777,0.05166482099629144
2020-01-20,East Lake Bonney,0.11390582676662117,0.11153912455036469
2020-10-30,West Lake Bonney,0.19025459653571164,0.08547007725157066
2020-10-30,East Lake Bonney,0.12613619787286903,0.12581513843378397
2020-11-15,West Lake Bonney,0.16472283950110211,0.06991995846408881
2020-11-15,East Lake Bonney,0.1333188688907123,0.16409242148055692
2020-11-17,West Lake Bonney,0.14782717442155244,0.07160031006179764
2020-11-17,East Lake Bonney,0.1318187682081893,0.15369041681294254
2020-11-19,West Lake Bonney,0.12170085712503433,0.0553202522389066
2020-11-19,East Lake Bonney,0.1142813420440233,0.12326827105048492
2020-11-24,West Lake Bonney,0.10856411298590167,0.036863277772423694
2020-11-24,East Lake Bonney,0.17154956043281328,0.18930390960088483
2020-11-26,West Lake Bonney,0.1162051982962692,0.05032257836634261
2020-11-26,East Lake Bonney,0.2138461616707522,0.23962240881390043
2020-11-29,West Lake Bonney,0.12784536658313989,0.05393388008196237
2020-11-29,East Lake Bonney,0.22224254750079667,0.25652421260321584
2020-12-01,West Lake Bonney,0.1439002698540473,0.05857737416074848
2020-12-01,East Lake Bonney,0.2036080441453121,0.23224761762000895
2020-12-03,West Lake Bonney,0.14204622144445259,0.04924893668126671
2020-12-03,East Lake Bonney,0.19321009169757608,0.2091030568988235
2020-12-08,West Lake Bonney,0.10618647677608081,0.0403651311913672
2020-12-08,East Lake Bonney,0.1133647299494499,0.08504626846837776
2020-12-10,West Lake Bonney,0.10384597143352396,0.045336565171951476
2020-12-10,East Lake Bonney,0.09303474337704373,0.061744357620065984
2020-12-15,West Lake Bonney,0.10270226907529802,0.049510014476879013
2020-12-15,East Lake Bonney,0.16449685194878474,0.12912973474573206
2020-12-21,West Lake Bonney,0.12840213345022475,0.07124355829046859
2020-12-21,East Lake Bonney,0.08357909731652576,0.09274920423825582
2020-12-24,West Lake Bonney,0.10452384561432318,0.047993079359013056
2020-12-24,East Lake Bonney,0.09010519908871951,0.13432148133439045
2021-01-13,West Lake Bonney,0.09016170243619323,0.04061837812500994
2021-01-13,East Lake Bonney,0.0462913742871742,0.07194163210396827
2021-01-16,West Lake Bonney,0.10291468277780147,0.05848936352076499
2021-01-16,East Lake Bonney,0.26301213191340006,0.2020285270832203
2021-01-18,West Lake Bonney,0.09339490972835458,0.05354157604866052
2021-01-18,East Lake Bonney,0.07083968710603752,0.0959540291338743
2021-01-22,West Lake Bonney,0.10333535825548062,0.05659939122008144
2021-01-22,East Lake Bonney,0.04966572896386895,0.0681896034142011
2021-02-01,West Lake Bonney,0.12377482409490509,0.0760848079702175
2021-02-01,East Lake Bonney,0.13720019393516297,0.1925771070892181
2021-10-31,West Lake Bonney,0.15440183727699827,0.11949187767958623
2021-10-31,East Lake Bonney,0.2068619586456788,0.23233998213653212
2021-11-04,West Lake Bonney,0.14892485722816418,0.11570573684746624
2021-11-04,East Lake Bonney,0.21161830316895075,0.24409998522864448
2021-11-09,West Lake Bonney,0.14277869469467763,0.10527756011706922
2021-11-09,East Lake Bonney,0.21669515531066927,0.30489470103272687
2021-11-11,West Lake Bonney,0.13270141545190914,0.09407824174917577
2021-11-11,East Lake Bonney,0.22313427361782717,0.2625128971343791
2021-11-20,West Lake Bonney,0.09793084223642853,0.06323165024644625
2021-11-20,East Lake Bonney,0.18588005305105998,0.24521678363283475
2021-12-02,West Lake Bonney,0.1362553636626513,0.0753616333814032
2021-12-02,East Lake Bonney,0.2648231757929262,0.36809210909737483
2021-12-04,West Lake Bonney,0.10494504801080735,0.06888387133124103
2021-12-04,East Lake Bonney,0.11535579880970662,0.24262052090079697
2021-12-06,West Lake Bonney,0.12389136005497059,0.05939995082784418
2021-12-06,East Lake Bonney,0.2775768628933067,0.38911954738475657
2021-12-08,West Lake Bonney,0.11563829991544562,0.0653196310966776
2021-12-08,East Lake Bonney,0.2521038683321028,0.3089808636241489
2021-12-11,West Lake Bonney,0.09491157678780753,0.07160166240733382
2021-12-11,East Lake Bonney,0.21707637166665403,0.15997920472312857
2021-12-18,West Lake Bonney,0.08812288113633653,0.09068160194103474
2021-12-18,East Lake Bonney,0.11633394910242627,0.1247624726715205
2021-12-20,West Lake Bonney,0.07853759844670627,0.08486541243093679
2021-12-20,East Lake Bonney,0.13542467207241807,0.16645570314703273
2021-12-22,West Lake Bonney,0.07864604673972628,0.08235651576663923
2021-12-22,East Lake Bonney,0.14246196578474982,0.19074135532816097
2021-12-24,West Lake Bonney,0.08157504184344,0.07927747483585905
2021-12-24,East Lake Bonney,0.07398246375134253,0.11606250987681926
2022-01-05,West Lake Bonney,0.039346890996049814,0.05197356265375335
2022-01-05,East Lake Bonney,0.26987691215900433,0.3627142415554435
2022-01-07,West Lake Bonney,0.03968294606010858,0.04674589360669714
2022-01-07,East Lake Bonney,0.18350912881505504,0.30048219075909366
2022-01-12,West Lake Bonney,0.052218667047775405,0.047847919793775194
2022-01-12,East Lake Bonney,0.16107352125319488,0.2784503862399746
2022-01-14,West Lake Bonney,0.06217994319214913,0.05376075330751695
2022-01-14,East Lake Bonney,0.16955025896508857,0.2904922136278064
2022-01-16,West Lake Bonney,0.07668972432482624,0.06814016808434033
2022-01-16,East Lake Bonney,0.17215601669393485,0.2842147795414483
2022-01-19,West Lake Bonney,0.010066305942470603,0.005469686541278291
2022-01-19,East Lake Bonney,0.0964051321702214,0.206223324668584
2022-01-25,West Lake Bonney,0.06347265405547456,0.04359676998439084
2022-01-25,East Lake Bonney,0.23018917323928487,0.4298187340299288
2022-01-28,West Lake Bonney,0.14046895868015818,0.045611088451062355
2022-01-28,East Lake Bonney,0.19335329608868346,0.36513340144797607
2022-11-14,West Lake Bonney,0.10967205424287373,0.059906537689822646
2022-11-14,East Lake Bonney,0.33211749837918275,0.5325448634447875
2022-11-16,West Lake Bonney,0.13325786615146154,0.06999861824697834
2022-11-16,East Lake Bonney,0.42634548538332295,0.5937708329271387
2022-11-19,West Lake Bonney,0.11244481176835122,0.060212639332470945
2022-11-19,East Lake Bonney,0.3375651143877003,0.5458080813840583
2022-11-21,West Lake Bonney,0.11268677128201363,0.06564150659459532
2022-11-21,East Lake Bonney,0.3378032919410528,0.5504091197693789
2022-11-23,West Lake Bonney,0.09811207318108493,0.05912532922772711
2022-11-23,East Lake Bonney,0.3288956967958181,0.5097346645814401
2022-11-28,West Lake Bonney,0.09531616863109213,0.04690338280043259
2022-11-28,East Lake Bonney,0.29752306416029084,0.39818862257180393
2022-12-05,West Lake Bonney,0.06055799954829799,0.03276776207441337
2022-12-05,East Lake Bonney,0.21388948821417147,0.29084339693740563
2022-12-11,West Lake Bonney,0.09259882397120836,0.0606085709652363
2022-12-11,East Lake Bonney,0.3586031637514263,0.421815824508667
2022-12-16,West Lake Bonney,0.06093188035406507,0.058777373235097366
2022-12-16,East Lake Bonney,0.18252873047677082,0.25630190515959705
2022-12-18,West Lake Bonney,0.06516692353553798,0.0640853700767108
2022-12-18,East Lake Bonney,0.21713662826564345,0.30524109497114466
2023-01-01,West Lake Bonney,0.05963879358424332,0.05223391403142702
2023-01-01,East Lake Bonney,0.28416302594906595,0.40781241953372954
2023-01-03,West Lake Bonney,0.051111581664856055,0.04111719217198426
2023-01-03,East Lake Bonney,0.19057274589748918,0.36740995546182
2023-01-10,West Lake Bonney,0.061576246486638,0.04953479969855101
2023-01-10,East Lake Bonney,0.2228398003512211,0.419015293540778
2023-01-22,West Lake Bonney,0.08442553930871419,0.06728163323193136
2023-01-22,East Lake Bonney,0.13461728520790522,0.34106779678000343
2023-01-24,West Lake Bonney,0.08389602924360466,0.06134283849332996
2023-01-24,East Lake Bonney,0.18203301868224997,0.36779877962889496
2023-11-17,West Lake Bonney,0.10797866695663905,0.041890343601546955
2023-11-17,East Lake Bonney,0.27023206601832855,0.4190677627938351
2023-11-19,West Lake Bonney,0.11359207401437572,0.042313263682247984
2023-11-19,East Lake Bonney,0.26290815179451704,0.457070931599096
2023-12-05,West Lake Bonney,0.07118723165549182,0.04075102656465041
2023-12-05,East Lake Bonney,0.20783327449365493,0.27377042494438314
2023-12-19,West Lake Bonney,0.04611499273102985,0.02289866226676249
2023-12-19,East Lake Bonney,0.1330914514986113,0.22160835045355337
2023-12-28,West Lake Bonney,0.04887838882026774,0.02408217464835616
2023-12-28,East Lake Bonney,0.11795550849171312,0.21721033201449447
2023-12-30,West Lake Bonney,0.04258584962658784,0.018887919871751854
2023-12-30,East Lake Bonney,0.14621630643173933,0.23827918516816915
2024-01-04,West Lake Bonney,0.04408211852556592,0.018785261269528487
2024-01-04,East Lake Bonney,0.15979342984193978,0.2637086181728928
2024-01-22,West Lake Bonney,0.057443559960968366,0.03321550406635923
2024-01-22,East Lake Bonney,0.17811011515921876,0.30802827681656236
2024-11-12,West Lake Bonney,0.13561137418623678,0.09088050795861506
2024-11-12,East Lake Bonney,0.202243891525954,0.3211931765286459
2024-11-14,West Lake Bonney,0.1325408639451698,0.09564178655056088
2024-11-14,East Lake Bonney,0.1340090478062865,0.24534325066919405
2024-11-21,West Lake Bonney,0.13008058740262968,0.07949085220513838
2024-11-21,East Lake Bonney,0.21356296279166184,0.3365072435802884
2024-12-21,West Lake Bonney,0.05422827661237357,0.035216945278242845
2024-12-21,East Lake Bonney,0.13556499388721238,0.21685714319831242
2016-11-02,Lake Fryxell,0.1540982200880541,0
2016-11-04,Lake Fryxell,0.16056213560486995,0
2016-11-06,Lake Fryxell,0.16663203106917263,0
2016-11-08,Lake Fryxell,0.18202916328018706,0
2016-11-13,Lake Fryxell,0.19404682987753585,0
2016-11-15,Lake Fryxell,0.18761138830531177,0
2016-12-08,Lake Fryxell,0.04170294559507971,0.007522845646249186
2016-12-10,Lake Fryxell,0.0476793906072363,0.007039595396133535
2016-12-13,Lake Fryxell,0.0978644657690977,0.00679796978071446
2016-12-15,Lake Fryxell,0.14727827114474862,0.012626038157362162
2016-12-17,Lake Fryxell,0.19938569405900775,4.508337809439629e-4
2016-12-19,Lake Fryxell,0.18516900810757295,0.003934524757723653
2016-12-24,Lake Fryxell,0.23084619175900664,1.0034424791994848e-5
2017-01-02,Lake Fryxell,0.1259492873061628,0
2017-01-09,Lake Fryxell,0.13488647050340988,3.0033921042135112e-6
2017-01-11,Lake Fryxell,0.025626942711306264,0
2017-01-14,Lake Fryxell,0.017409445524337888,1.1362889090104771e-4
2017-01-18,Lake Fryxell,0.0171621028138916,0
2017-01-25,Lake Fryxell,0.030389255620888234,1.3156524713630824e-4
2017-01-27,Lake Fryxell,0.037032630314362956,3.80003321161463e-4
2017-01-30,Lake Fryxell,0.05171661495465955,0.0015816436893953522
2017-11-04,Lake Fryxell,0.1446238139576457,0.10968659196444612
2017-11-07,Lake Fryxell,0.1541338768951856,0.08041777070616092
2017-11-18,Lake Fryxell,0.13731256089512686,0.07354800192055186
2017-11-20,Lake Fryxell,0.1417989019255242,0.14847239158558148
2017-11-21,Lake Fryxell,0.15742400982878887,0.12106763671985582
2017-11-25,Lake Fryxell,0.1889382694736387,0.13721410421080382
2017-11-27,Lake Fryxell,0.17402647161008977,0.11785077632586927
