system:index,Change in Sediment Cover?,Cloud Free (Y/N/P),Coverage of lakes,Date (YYYYMMDD),File ID,Notes,Snow Cover (Y/N/P),temp,.geo
00000000000000000050,NA,Y,All,2020-11-15,LANDSAT_8_2020-11-15,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,NA,Y,All,2020-11-17,LANDSAT_8_2020-11-17,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,NA,Y,All,2020-11-19,LANDSAT_8_2020-11-19,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,NA,Y,All,2020-11-24,LANDSAT_8_2020-11-24,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,NA,Y,All,2020-11-26,LANDSAT_8_2020-11-26,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,NA,Y,All,2020-11-29,LANDSAT_8_2020-11-29,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,NA,Y,All,2020-12-01,LANDSAT_8_2020-12-01,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,NA,Y,All,2020-12-03,LANDSAT_8_2020-12-03,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,NA,Y,All,2020-12-08,LANDSAT_8_2020-12-08,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,NA,Y,All,2020-12-10,LANDSAT_8_2020-12-10,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,NA,Y,All,2020-12-15,LANDSAT_8_2020-12-15,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,NA,Y,All,2020-12-21,LANDSAT_8_2020-12-21,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,NA,Y,All,2020-12-24,LANDSAT_8_2020-12-24,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,NA,Y,All,2020-12-26,LANDSAT_8_2020-12-26,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,NA,Y,All,2021-01-06,LANDSAT_8_2021-01-06,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,NA,Y,All,2021-01-13,LANDSAT_8_2021-01-13,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,NA,Y,All,2021-01-16,LANDSAT_8_2021-01-16,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,NA,Y,All,2021-01-22,LANDSAT_8_2021-01-22,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,NA,Y,All,2021-02-01,LANDSAT_8_2021-02-01,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,NA,Y,All,2021-11-04,LANDSAT_8_2021-11-04,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,NA,Y,All,2021-11-09,LANDSAT_8_2021-11-09,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,NA,Y,All,2021-11-11,LANDSAT_8_2021-11-11,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,NA,Y,All,2021-11-20,LANDSAT_8_2021-11-20,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,NA,Y,All,2021-12-02,LANDSAT_8_2021-12-02,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,NA,Y,All,2021-12-04,LANDSAT_8_2021-12-04,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,NA,Y,All,2021-12-06,LANDSAT_8_2021-12-06,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,NA,Y,All,2021-12-08,LANDSAT_8_2021-12-08,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,NA,Y,All,2021-12-11,LANDSAT_8_2021-12-11,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,NA,Y,All,2021-12-18,LANDSAT_8_2021-12-18,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,NA,Y,All,2021-12-20,LANDSAT_8_2021-12-20,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,NA,Y,All,2021-12-22,LANDSAT_8_2021-12-22,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,NA,Y,All,2021-12-24,LANDSAT_8_2021-12-24,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,NA,Y,All,2022-01-05,LANDSAT_8_2022-01-05,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,NA,Y,All,2022-01-07,LANDSAT_8_2022-01-07,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,NA,Y,All,2022-01-12,LANDSAT_8_2022-01-12,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,NA,Y,All,2022-01-14,LANDSAT_8_2022-01-14,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,NA,Y,All,2022-01-16,LANDSAT_8_2022-01-16,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,NA,Y,All,2022-01-19,LANDSAT_8_2022-01-19,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,NA,Y,All,2022-01-25,LANDSAT_8_2022-01-25,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,NA,Y,All,2022-01-28,LANDSAT_8_2022-01-28,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,NA,Y,All,2022-11-14,LANDSAT_8_2022-11-14,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,NA,Y,All,2022-11-16,LANDSAT_8_2022-11-16,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,NA,Y,All,2022-11-19,LANDSAT_8_2022-11-19,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,NA,Y,All,2022-11-21,LANDSAT_8_2022-11-21,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,NA,Y,All,2022-11-23,LANDSAT_8_2022-11-23,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,NA,Y,All,2022-11-28,LANDSAT_8_2022-11-28,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,NA,Y,All,2022-12-05,LANDSAT_8_2022-12-05,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,NA,Y,All,2022-12-11,LANDSAT_8_2022-12-11,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,NA,Y,All,2022-12-16,LANDSAT_8_2022-12-16,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
