system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
33,"[0.20683346745699005, 0.17116891359642622, 0.1672515069308222, 0.15928334267364583, 0.15705578399189973, 0.14611541836302716, 0.16712919260941372]","[163.17518725654375, -77.61204069306538]",2018-01-03T00:00:00,"[0.5640185940596679, 0.5408408286345825, 0.5624484460093381, 0.4862653333491132, 0.01428769664238248, 0.013350425648629668, 0.5476728705616949]","[163.17537161413546, -77.5996182219057]",33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,"[0.2240068658028178, 0.18728141049780558, 0.18480224726362665, 0.17846036188973227, 0.1547227538933106, 0.14369398190576343, 0.18584598033868313]","[163.17518725654375, -77.61204069306538]",2018-01-05T00:00:00,"[0.5534940006466994, 0.5299600042827097, 0.5545730052763654, 0.5009508520580209, 0.04163553011842446, 0.03914348290561542, 0.5361991825176087]","[163.17537161413546, -77.5996182219057]",34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[0.2036898490398071, 0.1657493232890459, 0.16182964701924435, 0.1541500957015563, 0.15628105117335556, 0.14534402201759195, 0.16312633992664743]","[163.17518725654375, -77.61204069306538]",2018-01-07T00:00:00,"[0.5536822529147101, 0.526959273432342, 0.5522344102207756, 0.4866845473233336, 0.014563385075030319, 0.013531475932409767, 0.5339091348934798]","[163.17537161413546, -77.5996182219057]",35,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[0.19831574740630317, 0.16084249796341923, 0.15425066313949704, 0.14543805888782843, 0.14876708130685531, 0.13975234240241083, 0.1588217517287839]","[163.17518725654375, -77.61204069306538]",2018-01-10T00:00:00,"[0.6190556915585523, 0.5933661765403404, 0.62616148051213, 0.5969586673922396, 0.04214943110294482, 0.04358453377598074, 0.6039892085806179]","[163.17537161413546, -77.5996182219057]",36,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[0.20331236450144594, 0.16444135330219767, 0.15867442957366956, 0.1507844161492985, 0.15461156080453442, 0.14363329290440524, 0.16376234122290467]","[163.17518725654375, -77.61204069306538]",2018-01-12T00:00:00,"[0.6114204588447676, 0.5872738301999649, 0.6189840027314814, 0.5804677285960247, 0.028929941970813472, 0.02970331565047001, 0.5967674349383014]","[163.17537161413546, -77.5996182219057]",37,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,"[0.2028394833530696, 0.16334841548509468, 0.15708490528797803, 0.1494320196199181, 0.1520022401236023, 0.14046417094672844, 0.16221468649269843]","[163.17518725654375, -77.61204069306538]",2018-01-14T00:00:00,"[0.5718774591480653, 0.5472324952190208, 0.5724163573099611, 0.516550744389708, 0.021017892631376746, 0.020666195706648523, 0.5557936348187652]","[163.17537161413546, -77.5996182219057]",38,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,"[0.20137335398857925, 0.16389941077432182, 0.1591018028096144, 0.1513627822236409, 0.15609219231012345, 0.1464344711119611, 0.16239760536983983]","[163.17518725654375, -77.61204069306538]",2018-01-19T00:00:00,"[0.5767788520157958, 0.5571899782035907, 0.5826963115186273, 0.5086749775306123, 0.019505987538274087, 0.01961110099392768, 0.5676957599339988]","[163.17537161413546, -77.5996182219057]",39,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,"[0.3058210513467258, 0.26014529080608007, 0.25899977918641454, 0.2555438533686401, 0.12457934007787463, 0.11823446441146683, 0.26581326149732154]","[163.17518725654375, -77.61204069306538]",2018-01-26T00:00:00,"[0.7536482835821137, 0.7195178189597236, 0.7680508978873779, 0.7939706037724453, 0.08461262089238765, 0.08924820256043135, 0.735286559424572]","[163.17537161413546, -77.5996182219057]",40,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,"[0.23684756496613354, 0.18820230289663692, 0.1795178281997203, 0.16968175463833537, 0.14529423059133717, 0.13519346281086758, 0.1859110722576968]","[163.17518725654375, -77.61204069306538]",2018-01-30T00:00:00,"[0.6785018270937592, 0.6419298922191654, 0.6885303580578126, 0.6956799601664472, 0.047249303527745694, 0.050179982377052255, 0.6563897095381523]","[163.17537161413546, -77.5996182219057]",41,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,"[0.29035144276639274, 0.24371074371204668, 0.24500765648591677, 0.23589233077847324, 0.16092795051439268, 0.15055746523391117, 0.24722327866420726]","[163.17518725654375, -77.61204069306538]",2018-11-05T00:00:00,"[0.5333772781599809, 0.5049211557237983, 0.51890177489068, 0.4197173588509962, 0.09419037852355513, 0.08837591434077198, 0.5110212984250032]","[163.17537161413546, -77.5996182219057]",42,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,"[0.23087214203408402, 0.1912991638236574, 0.187231716439647, 0.17437903111309025, 0.1502701314189497, 0.1421639996775511, 0.1859450671164873]","[163.17518725654375, -77.61204069306538]",2018-11-07T00:00:00,"[0.48345082094601527, 0.4605747053980964, 0.464182664186888, 0.3475266411657889, 0.03241107110320438, 0.03070708099518843, 0.4652911640447456]","[163.17537161413546, -77.5996182219057]",43,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,"[0.3554023582114583, 0.3129985798040681, 0.3176429099895663, 0.30761998772484067, 0.16595915934132813, 0.16176613949797183, 0.31453348525780217]","[163.17518725654375, -77.61204069306538]",2018-11-08T00:00:00,"[0.46790795842986393, 0.42766739846757823, 0.4296073077534609, 0.35484631235644143, 0.09808160403539393, 0.09734087196371213, 0.43250651031271453]","[163.17537161413546, -77.5996182219057]",44,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,"[0.2250283774262406, 0.18705334074642527, 0.18234610804312842, 0.17456326958416743, 0.15959689914343567, 0.14891482089255367, 0.18174113759505497]","[163.17518725654375, -77.61204069306538]",2018-11-12T00:00:00,"[0.4889193290343568, 0.4673672355004206, 0.47231882969661854, 0.3486294433395005, 0.03170365968999887, 0.029022282958846186, 0.4726416652999643]","[163.17537161413546, -77.5996182219057]",45,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[0.21195480377762152, 0.17374656310965617, 0.1698025952275435, 0.15944955129205857, 0.14479745357879917, 0.1370998880404028, 0.16910722247864596]","[163.17518725654375, -77.61204069306538]",2018-11-17T00:00:00,"[0.4704667744999133, 0.44217219637677546, 0.44499579441884857, 0.3382643760790995, 0.032219926413818385, 0.03094342413303836, 0.4456059384685087]","[163.17537161413546, -77.5996182219057]",46,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[0.21437023992746662, 0.1813556805453619, 0.17611756039626986, 0.1656488592490157, 0.15408922031119604, 0.14640842531808038, 0.17900063039114156]","[163.17518725654375, -77.61204069306538]",2018-11-19T00:00:00,"[0.4699791462572351, 0.4502569056891821, 0.4447712030823782, 0.3060173451674966, 0.023535785417351667, 0.022090940355235723, 0.45150305392065454]","[163.17537161413546, -77.5996182219057]",47,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,"[0.20490004922805302, 0.17021233001754751, 0.1672370790929229, 0.15599110107363656, 0.14883334892274944, 0.14130554842802145, 0.1701487272842758]","[163.17518725654375, -77.61204069306538]",2018-11-24T00:00:00,"[0.4601524754373071, 0.44292648329814366, 0.4440568494970722, 0.3294754385088402, 0.01528151740015668, 0.014019994734539855, 0.4479545682404913]","[163.17537161413546, -77.5996182219057]",48,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,"[0.19858378526633522, 0.16600887424075084, 0.16008548243603182, 0.15225941331144002, 0.15066066997830457, 0.14184040765218245, 0.16370735166320075]","[163.17518725654375, -77.61204069306538]",2018-11-26T00:00:00,"[0.4647461993373267, 0.44771172621831495, 0.4533932137695504, 0.35533374538092055, 0.013687823813578004, 0.012432008606935628, 0.4529751403800024]","[163.17537161413546, -77.5996182219057]",49,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,"[0.20718376253407284, 0.17189115094657131, 0.16778804426533372, 0.15987232541558966, 0.15651420075205705, 0.1468483819193779, 0.16863289819065805]","[163.17518725654375, -77.61204069306538]",2018-11-28T00:00:00,"[0.46820852424226805, 0.44583472303261373, 0.4489744614627777, 0.3469217499944214, 0.014920701691034507, 0.013555420154003298, 0.44771464312691106]","[163.17537161413546, -77.5996182219057]",50,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,"[0.20497725906104666, 0.17162086886965444, 0.16709888501438402, 0.15925367316643785, 0.15606862860890222, 0.14607830582307416, 0.1695426167345802]","[163.17518725654375, -77.61204069306538]",2018-11-30T00:00:00,"[0.44272089003912557, 0.4156611836824004, 0.4152253136792848, 0.3147325314011061, 0.013018752656976206, 0.011710172737430429, 0.4164681055382147]","[163.17537161413546, -77.5996182219057]",51,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,"[0.20272804514558448, 0.1708262692823192, 0.16582292975253177, 0.15731345328065072, 0.158588479723279, 0.14922072331028657, 0.16899158690546337]","[163.17518725654375, -77.61204069306538]",2018-12-05T00:00:00,"[0.47626029076700915, 0.4599945000656294, 0.46104637033616697, 0.35841324950793196, 0.012186086054849313, 0.01116740548905569, 0.4592609675451997]","[163.17537161413546, -77.5996182219057]",52,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,"[0.24028446385173877, 0.21037694428783624, 0.2136127057836252, 0.20580981797708478, 0.15132260887248508, 0.14335886634816208, 0.21168741964744725]","[163.17518725654375, -77.61204069306538]",2018-12-19T00:00:00,"[0.5606903399046139, 0.5529468910479558, 0.5820148607603834, 0.5147057355988567, 0.062059418414774456, 0.06087639564924501, 0.5568642009835686]","[163.17537161413546, -77.5996182219057]",53,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,"[0.5023956583404723, 0.455554908256783, 0.47137801197863294, 0.4792410914467947, 0.21715668644971522, 0.21782351064317518, 0.46396267984818684]","[163.17518725654375, -77.61204069306538]",2018-12-25T00:00:00,"[0.5433950654864834, 0.4976636068046628, 0.5134057314659597, 0.5146766604785057, 0.2167795416835787, 0.2167524589101943, 0.5039334664811282]","[163.17537161413546, -77.5996182219057]",54,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,"[0.20054373302753561, 0.16051577722894014, 0.15284710563278273, 0.14235112469093747, 0.13616772881694356, 0.12652709853398753, 0.15871503340841542]","[163.17518725654375, -77.61204069306538]",2018-12-30T00:00:00,"[0.5566704945422195, 0.530558442521374, 0.5497526549928922, 0.48290396630300886, 0.025225311516205298, 0.02566818009442062, 0.5380723090777807]","[163.17537161413546, -77.5996182219057]",55,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,"[0.19887214767721606, 0.16246796371080727, 0.1578113277940008, 0.1509334677241292, 0.1573014263823948, 0.14637476815056796, 0.16129925894025995]","[163.17518725654375, -77.61204069306538]",2019-01-01T00:00:00,"[0.541146523138533, 0.5161037161300958, 0.5330003804108971, 0.45170505728546684, 0.012445556779112871, 0.011831473972670783, 0.5268901883609455]","[163.17537161413546, -77.5996182219057]",56,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,"[0.19475462325212142, 0.1607405495991978, 0.1562305068287113, 0.1491541331376257, 0.15388611320418547, 0.1440147724714999, 0.15905404108924417]","[163.17518725654375, -77.61204069306538]",2019-01-04T00:00:00,"[0.5248819073686954, 0.5050345061115458, 0.5187100665479581, 0.4276780844727413, 0.010085690653752102, 0.009398859398399633, 0.5117737407877949]","[163.17537161413546, -77.5996182219057]",57,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,"[0.20133960055924305, 0.16568904533515574, 0.16122123936427696, 0.15402953047689644, 0.15890741172472606, 0.14851105980751986, 0.16455663117594416]","[163.17518725654375, -77.61204069306538]",2019-01-06T00:00:00,"[0.5486811374834314, 0.5294493300758835, 0.5453227224619627, 0.44744717320125904, 0.011620607574295857, 0.011094562014725072, 0.5401211931962242]","[163.17537161413546, -77.5996182219057]",58,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,"[0.2020477955330695, 0.16375068429740813, 0.15916766649547942, 0.15206275115068438, 0.15767241567766388, 0.14757097490156548, 0.16138143581018505]","[163.17518725654375, -77.61204069306538]",2019-01-10T00:00:00,"[0.5197089821166682, 0.49444514660003747, 0.5073998988069366, 0.4111134907156863, 0.01176943209151401, 0.010951421951284745, 0.5010269147670314]","[163.17537161413546, -77.5996182219057]",59,"{""type"":""MultiPoint"",""coordinates"":[]}"
