system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
26,"[0.23057742223175373, 0.19150842816039818, 0.18784077190641893, 0.1789686311456616, 0.14555054129808973, 0.13697797867153447, 0.1869933827455076]","[163.17518725654375, -77.61204069306538]",2017-12-23T00:00:00,"[0.6754149985152813, 0.6356397472485326, 0.6704971599076252, 0.6509040155064965, 0.05773755741941049, 0.06035804995132725, 0.6528539887887925]","[163.17537161413546, -77.5996182219057]",26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[0.21894503211861865, 0.1832599969808148, 0.17972978311431137, 0.16969073291318243, 0.15089905845047755, 0.1404664635718286, 0.17578297307895727]","[163.17518725654375, -77.61204069306538]",2018-01-03T00:00:00,"[0.5623770441929532, 0.5382295233227952, 0.5583251735077719, 0.48115128061127765, 0.01421398821605047, 0.01323625243747858, 0.5426391996894747]","[163.17537161413546, -77.5996182219057]",27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[0.23289229432164876, 0.19624384803742875, 0.19476593659705435, 0.18663260259884723, 0.14971056146346245, 0.1388330140496574, 0.18970747341627214]","[163.17518725654375, -77.61204069306538]",2018-01-05T00:00:00,"[0.5519993797021246, 0.5271624770178255, 0.550195435320557, 0.4948607624657969, 0.041740233180601105, 0.03911786537521214, 0.5326081947076089]","[163.17537161413546, -77.5996182219057]",28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[0.21164300687510101, 0.17480528217624136, 0.16820623339293936, 0.15739843071113543, 0.1425403061176145, 0.13338017250594383, 0.1676287965170266]","[163.17518725654375, -77.61204069306538]",2018-01-10T00:00:00,"[0.6223735790827994, 0.5953169820258709, 0.6270598765056308, 0.5981285419182124, 0.04297951813852758, 0.04441044937100131, 0.6049137118597397]","[163.17537161413546, -77.5996182219057]",29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[0.2161484038559794, 0.17634017330809612, 0.17121315117334474, 0.1621314558552804, 0.147862511631074, 0.13697617448389107, 0.17128735576730347]","[163.17518725654375, -77.61204069306538]",2018-01-12T00:00:00,"[0.6156853400606596, 0.5895750404866883, 0.6204705411224972, 0.5821248547989912, 0.029647067487941145, 0.030444614167930404, 0.596971569134089]","[163.17537161413546, -77.5996182219057]",30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[0.2134035798275973, 0.1749683509094762, 0.1685898604526165, 0.15772908716739004, 0.1450520503334225, 0.133829865022335, 0.1692186558511248]","[163.17518725654375, -77.61204069306538]",2018-01-14T00:00:00,"[0.5749093995040024, 0.5481641394598797, 0.5720534009746773, 0.5178024623263738, 0.021327404628373604, 0.021123370346925085, 0.5548319889658951]","[163.17537161413546, -77.5996182219057]",31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[0.21144020135188313, 0.1739049174562762, 0.16891160646621078, 0.15853059295423003, 0.14875861596282838, 0.13944105320251007, 0.16689370609520904]","[163.17518725654375, -77.61204069306538]",2018-01-19T00:00:00,"[0.5762885012098018, 0.555268313358971, 0.5789292126269326, 0.5049826660437808, 0.01964759544966795, 0.01970051370598765, 0.5606960710084872]","[163.17537161413546, -77.5996182219057]",32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,"[0.3082280576714647, 0.26297792411314225, 0.2623950810608307, 0.25800796451656965, 0.12222428411239977, 0.11626888631835501, 0.2545406635976423]","[163.17518725654375, -77.61204069306538]",2018-01-26T00:00:00,"[0.752053913150813, 0.71707336603206, 0.7654205342523999, 0.7912045200132837, 0.08430817391355602, 0.08888082678405386, 0.7339255170055257]","[163.17537161413546, -77.5996182219057]",33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,"[0.25242261260377924, 0.20401430297394907, 0.1966971033239478, 0.18627549951785377, 0.13883939352827487, 0.12936113144499484, 0.1987980636879325]","[163.17518725654375, -77.61204069306538]",2018-01-30T00:00:00,"[0.6779433614031176, 0.6404277599869184, 0.6865776104199038, 0.6942449834362332, 0.04754557621027602, 0.050425597574496064, 0.6547469821592289]","[163.17537161413546, -77.5996182219057]",34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[0.30576293513877123, 0.25940322799784304, 0.26263525162491164, 0.2525058845263288, 0.15690427123971712, 0.14685543202114368, 0.2599018714352482]","[163.17518725654375, -77.61204069306538]",2018-11-05T00:00:00,"[0.5332992332102039, 0.5009205713489482, 0.5097694946486865, 0.4099363024267467, 0.09452757985609704, 0.08862438872158555, 0.5024194959980726]","[163.17537161413546, -77.5996182219057]",35,"{""type"":""MultiPoint"",""coordinates"":[]}"
